OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
1,2015,NonResidential,Hotel,MAYFLOWER PARK HOTEL,659000030,"{'latitude': '47.61219025', 'longitude': '-122.33799744', 'human_address': '{""address"": ""405 OLIVE WAY"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1927,1,12,88434,0,88434,Hotel,Hotel,88434,,,,,,65,78.90,80.30,173.50,175.10,6981428,7097539,2023032,1080307,3686160,12724,1272388,0,249.43,2.64,No,,Compliant,,,14,,31,18081
2,2015,NonResidential,Hotel,PARAMOUNT HOTEL,659000220,"{'latitude': '47.61310583', 'longitude': '-122.33335756', 'human_address': '{""address"": ""724 PINE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1996,1,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880,Parking,15064,Restaurant,4622,,51,94.40,99.00,191.30,195.20,8354235,8765788,0,1144563,3905411,44490,4448985,0,263.51,2.38,No,,Compliant,,,14,,31,18081
3,2015,NonResidential,Hotel,WESTIN HOTEL,659000475,"{'latitude': '47.61334897', 'longitude': '-122.33769944', 'human_address': '{""address"": ""1900 5TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1969,1,41,961990,0,961990,"Hotel, Parking, Swimming Pool",Hotel,757243,Parking,100000,Swimming Pool,0,,18,96.60,99.70,242.70,246.50,73130656,75506272,19660404,14583930,49762435,37099,3709900,0,2061.48,1.92,Yes,,Compliant,,,56,,31,18081
5,2015,NonResidential,Hotel,HOTEL MAX,659000640,"{'latitude': '47.61421585', 'longitude': '-122.33660889', 'human_address': '{""address"": ""620 STEWART ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1926,1,10,61320,0,61320,Hotel,Hotel,61320,,,,,,1,460.40,462.50,636.30,643.20,28229320,28363444,23458518,811521,2769023,20019,2001894,0,1936.34,31.38,No,,Compliant,High Outlier,,56,,31,18081
8,2015,NonResidential,Hotel,WARWICK SEATTLE HOTEL,659000970,"{'latitude': '47.6137544', 'longitude': '-122.3409238', 'human_address': '{""address"": ""401 LENORA ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1980,1,18,119890,12460,107430,"Hotel, Parking, Swimming Pool",Hotel,123445,Parking,68009,Swimming Pool,0,,67,120.10,122.10,228.80,227.10,14829099,15078243,0,1777841,6066245,87631,8763105,0,507.7,4.02,No,,Compliant,,,56,,31,19576
9,2015,Nonresidential COS,Other,WEST PRECINCT (SEATTLE POLICE),660000560,"{'latitude': '47.6164389', 'longitude': '-122.33676431', 'human_address': '{""address"": ""810 VIRGINIA ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1999,1,2,97288,37198,60090,Police Station,Police Station,88830,,,,,,,135.70,146.90,313.50,321.60,12051984,13045258,0,2130921,7271004,47813,4781283,0,304.62,2.81,No,,Compliant,,,56,,7,19576
10,2015,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,660000825,"{'latitude': '47.6141141', 'longitude': '-122.33274086', 'human_address': '{""address"": ""1619 9TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1926,1,11,83008,0,83008,Hotel,Hotel,81352,,,,,,25,76.90,79.60,149.50,158.20,6252842,6477493,0,785342,2679698,35733,3573255,0,208.46,2.37,No,,Compliant,,,14,,31,18081
11,2015,NonResidential,Other,PARAMOUNT THEATER,660000955,"{'latitude': '47.61290234', 'longitude': '-122.33130949', 'human_address': '{""address"": ""901 PINE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1926,1,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761,,,,,,,62.50,71.80,152.20,160.40,6426022,7380086,2003108,1203937,4108004,3151,315079,0,199.99,1.77,No,,Compliant,,,14,,31,18081
12,2015,NonResidential,Hotel,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,939000080,"{'latitude': '47.60258934', 'longitude': '-122.33255325', 'human_address': '{""address"": ""612 2ND AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1904,1,15,163984,0,163984,Hotel,Hotel,163984,,,,,,46,77.00,82.90,174.60,186.80,12633744,13589025,0,2155728,7355649,52784,5278400,0,331.61,1.83,No,,Compliant,,,14,,19,18379
13,2015,Multifamily MR (5-9),Mid-Rise Multifamily,LYON BUILDING,939000105,"{'latitude': '47.60278416', 'longitude': '-122.33214887', 'human_address': '{""address"": ""607 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1910,1,6,63712,1496,62216,Multifamily Housing,Multifamily Housing,56132,,,,,,2,81.70,92.70,178.10,190.80,4587231,5203458,1483476,694593,2370050,7338,733803,0,170,2.51,No,,Compliant,,,14,,19,18379
15,2015,NonResidential,Hotel,HOTEL MONACO,942000145,"{'latitude': '47.60712147', 'longitude': '-122.33431932', 'human_address': '{""address"": ""1101 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1969,1,11,153163,19279,133884,,,,,,,,,48,101.10,107.20,200.80,205.20,14719853,15615929,3623542,1857347,6337531,47590,4759044,0,576.63,3.59,No,,Compliant,,,14,,19,18081
16,2015,NonResidential,Hotel,W SEATTLE HOTEL,942000165,"{'latitude': '47.60718204', 'longitude': '-122.33347215', 'human_address': '{""address"": ""1112 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1998,1,25,333176,61161,272015,Hotel,Hotel,336640,,,,,,32,82.30,83.10,207.20,208.00,27717026,27970822,5426396,5585560,19058722,32327,3232700,0,723.4,1.93,No,,Compliant,,,14,,19,18081
17,2015,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,942000210,"{'latitude': '47.60709939', 'longitude': '-122.33310536', 'human_address': '{""address"": ""400 SPRING ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1928,1,9,65009,0,65009,Hotel,Hotel,65009,,,,,,39,104.70,96.80,166.50,158.20,6807227,6292213,1987163,473326,1615057,32051,3205074,0,334.87,5.04,No,,Compliant,,,14,,19,18081
18,2015,NonResidential,Hotel,CROWNE PLAZA,942000235,"{'latitude': '47.60809326', 'longitude': '-122.33211517', 'human_address': '{""address"": ""1113 6TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1980,1,33,315952,57600,258352,"Hotel, Parking",Hotel,295511,Parking,57600,,,,56,77.20,77.20,183.20,183.20,22811690,22811690,4731090,4129637,14090906,39903,3990280,0,675.34,1.95,Yes,,Compliant,,,14,,19,18081
19,2015,NonResidential,Hotel,HOTEL VINTAGE PARK,942000265,"{'latitude': '47.60761642', 'longitude': '-122.3323288', 'human_address': '{""address"": ""1100 5TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1922,1,11,67390,0,67390,,,,,,,,,14,166.10,175.70,317.40,326.00,10711451,11329230,4403788,1198487,4089407,22184,2218425,0,486.25,6.95,No,,Compliant,,,14,,19,18081
21,2015,Nonresidential COS,Other,SEATTLE CENTRAL LIBRARY,942000275,"{'latitude': '47.60667501', 'longitude': '-122.33226425', 'human_address': '{""address"": ""1000 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,2004,1,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913,Parking,49000,Data Center,1074,,,46.00,45.30,140.80,137.60,16849234,16594622,703184,4732136,16146718,0,0,0,166.84,0.24,No,,Compliant,,,14,,19,18379
22,2015,NonResidential,Other,DOWNTOWN SEATTLE YMCA,942000350,"{'latitude': '47.60544586', 'longitude': '-122.33280182', 'human_address': '{""address"": ""909 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1930,1,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000,Office,40000,Swimming Pool,0,,,79.50,83.40,173.70,178.40,10340282,10843936,4398022,1549824,5288219,6543,654260,0,411.09,3.74,No,,Compliant,,,14,,19,18379
23,2015,NonResidential,Hotel,RENAISSANCE MADISON HOTEL,942000430,"{'latitude': '47.60656003', 'longitude': '-122.33063632', 'human_address': '{""address"": ""515 MADISON ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1983,1,28,416281,85000,331281,"Hotel, Parking",Hotel,348329,Parking,85000,,,,30,95.50,97.40,231.90,234.70,33270518,33922016,0,6427712,21932264,113392,11339166,0,755.12,1.59,No,,Compliant,,,14,,19,18379
24,2015,NonResidential,Mixed Use Property,RAINIER CLUB (HISTORICAL LANDMARK),942000510,"{'latitude': '47.60552597', 'longitude': '-122.33163032', 'human_address': '{""address"": ""810 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1907,1,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442,Restaurant,15505,Office,9741,,,130.20,140.20,278.70,290.20,7481768,8052425,1755365,1106043,3773975,19526,1952583,0,265.5,4.34,No,,Compliant,,,14,,19,18379
25,2015,NonResidential,Hotel,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,942000610,"{'latitude': '47.60397899', 'longitude': '-122.3320576', 'human_address': '{""address"": ""700 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1916,1,10,104352,0,104352,,,,,,,,,83,75.20,74.90,119.50,118.60,7845112,7816594,3205497,524792,1790665,28490,2849024,0,411.22,3.87,No,,Compliant,,,14,,19,18379
26,2015,NonResidential,Other,KING COUNTY COURTHOUSE,942000860,"{'latitude': '47.60264587', 'longitude': '-122.33052826', 'human_address': '{""address"": ""516 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1916,1,10,540360,0,540360,Courthouse,Courthouse,537150,,,,,,67,99.30,103.10,208.50,210.40,53332648,55378956,0,7853984,26798906,265349,26534856,0,1596.08,2.74,No,,Compliant,,,14,,20,18379
27,2015,NonResidential,Other,KING COUNTY CORRECTIONAL FACILITY,942001010,"{'latitude': '47.60355377', 'longitude': '-122.32830048', 'human_address': '{""address"": ""500 5TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",3,DOWNTOWN,1985,1,19,385274,0,385274,Other,Other,385274,,,,,,,132.10,136.10,245.50,243.90,50899248,52435544,0,5766838,19677268,312228,31222797,0,1795.42,4.44,No,,Compliant,,,14,,19,18379
28,2015,SPS-District K-12,K-12 School,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),1102000138,"{'latitude': '47.54570136', 'longitude': '-122.2685843', 'human_address': '{""address"": ""5101 S GRAHAM ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98118""}'}",2,SOUTHEAST,1961,1,2,56228,0,56228,K-12 School,K-12 School,58320,,,,,,96,25.10,29.60,59.20,63.90,1454222,1716043,0,267181,911659,5426,542600,0,35.17,0.56,Yes,,Compliant,,,30,,43,18800
29,2015,NonResidential,Hotel,WATERTOWN HOTEL,1142000755,"{'latitude': '47.65953281', 'longitude': '-122.3173925', 'human_address': '{""address"": ""4242 ROOSEVELT WAY NE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98105""}'}",4,NORTHEAST,2001,1,6,88592,30586,58006,"Hotel, Parking",Hotel,58006,Parking,30586,,,,85,66.90,66.30,151.50,149.70,3880806,3848493,0,660802,2254751,16261,1626149,0,102.08,1.04,No,,Compliant,,,60,,38,18383
